relation	pattern_type	precision	support	pattern_data
Message-Topic(e1,e2)	BIGRAM	1.000	7	[('reflect', 'on')]
Component-Whole(e1,e2)	BIGRAM	1.000	7	[('good', 'part')]
Instrument-Agency(e2,e1)	DEP_VERB	1.000	7	['wield', 'nsubj', 'dobj']
Other	BEFORE_E1	1.000	6	['tree']
Instrument-Agency(e2,e1)	BIGRAM	1.000	6	[('apply', 'a')]
Entity-Destination(e1,e2)	BEFORE_E1	1.000	6	['transport']
Entity-Destination(e1,e2)	BEFORE_E1	1.000	6	['blow']
Entity-Destination(e1,e2)	BIGRAM	1.000	6	[('be', 'push')]
Entity-Destination(e1,e2)	BIGRAM	1.000	6	[('push', 'into')]
Entity-Destination(e1,e2)	BIGRAM	1.000	6	[('into', 'new')]
Entity-Destination(e1,e2)	BEFORE_E1	1.000	6	['import']
Entity-Destination(e1,e2)	LEMMA	1.000	6	['misplace']
Entity-Destination(e1,e2)	BIGRAM	1.000	6	[('misplace', 'into')]
Entity-Destination(e1,e2)	BIGRAM	1.000	6	[('fly', 'into')]
Entity-Destination(e1,e2)	BIGRAM	1.000	6	[('add', 'into')]
Entity-Destination(e1,e2)	LEMMA	1.000	6	['insert']
Entity-Destination(e1,e2)	BIGRAM	1.000	6	[('be', 'insert')]
Entity-Destination(e1,e2)	BIGRAM	1.000	6	[('be', 'give')]
Message-Topic(e1,e2)	BIGRAM	1.000	6	[('discuss', 'the')]
Message-Topic(e1,e2)	BIGRAM	1.000	6	[('be', 'about')]
Entity-Origin(e1,e2)	BIGRAM	1.000	6	[('from', 'previous')]
Cause-Effect(e1,e2)	BIGRAM	1.000	6	[('lead', 'cause')]
Cause-Effect(e1,e2)	BIGRAM	1.000	6	[('main', 'cause')]
Cause-Effect(e1,e2)	LEMMA	1.000	6	['respiratory']
Message-Topic(e1,e2)	DEP_VERB	1.000	6	['describe', 'nsubj', 'dobj']
Message-Topic(e1,e2)	DEP_VERB	1.000	6	['explore', 'nsubj', 'dobj']
Message-Topic(e1,e2)	DEP_VERB	1.000	6	['explain', 'nsubj', 'dobj']
Component-Whole(e2,e1)	BIGRAM	1.000	5	[('include', 'the')]
Other	LEMMA	1.000	5	['participant']
Other	BIGRAM	1.000	5	[('participant', 'in')]
Other	LEMMA	1.000	5	['participate']
Other	BIGRAM	1.000	5	[('participate', 'in')]
Instrument-Agency(e2,e1)	BIGRAM	1.000	5	[('the', 'victim')]
Instrument-Agency(e2,e1)	BIGRAM	1.000	5	[('victim', 'with')]
Instrument-Agency(e2,e1)	BIGRAM	1.000	5	[('wield', 'the')]
Entity-Destination(e1,e2)	BIGRAM	1.000	5	[('the', 'deep')]
Entity-Destination(e1,e2)	BIGRAM	1.000	5	[('be', 'misplace')]
Entity-Destination(e1,e2)	BEFORE_E1	1.000	5	['donate']
Entity-Destination(e1,e2)	BIGRAM	1.000	5	[('be', 'inject')]
Entity-Destination(e1,e2)	BIGRAM	1.000	5	[('inject', 'into')]
Entity-Destination(e1,e2)	BIGRAM	1.000	5	[('add', 'to')]
Entity-Destination(e1,e2)	BIGRAM	1.000	5	[('hand', 'over')]
Entity-Destination(e1,e2)	BIGRAM	1.000	5	[('remove', 'into')]
Entity-Destination(e1,e2)	BEFORE_E1	1.000	5	['spread']
Message-Topic(e1,e2)	LEMMA	1.000	5	['devote']
Message-Topic(e1,e2)	BIGRAM	1.000	5	[('give', 'an')]
Product-Producer(e2,e1)	BIGRAM	1.000	5	[('have', 'complete')]
Product-Producer(e2,e1)	BIGRAM	1.000	5	[('issue', 'a')]
Entity-Origin(e1,e2)	LEMMA	1.000	5	['hail']
Entity-Origin(e1,e2)	BIGRAM	1.000	5	[('hail', 'from')]
Entity-Origin(e1,e2)	LEMMA	1.000	5	['evaporate']
Entity-Origin(e1,e2)	BIGRAM	1.000	5	[('escape', 'from')]
Entity-Origin(e1,e2)	AFTER_E2	1.000	5	['ago']
Cause-Effect(e1,e2)	BIGRAM	1.000	5	[('the', 'cause')]
Product-Producer(e1,e2)	LEMMA	1.000	5	['pen']
Message-Topic(e1,e2)	DEP_VERB	1.000	5	['consider', 'nsubj', 'dobj']
Product-Producer(e2,e1)	DEP_VERB	1.000	5	['issue', 'nsubj', 'dobj']
Product-Producer(e2,e1)	DEP_VERB	1.000	5	['manufacture', 'nsubj', 'dobj']
Component-Whole(e2,e1)	BIGRAM	1.000	4	[('have', 'the')]
Other	LEMMA	1.000	4	['pertinent']
Other	BIGRAM	1.000	4	[('be', 'denote')]
Other	BIGRAM	1.000	4	[('a', 'great')]
Other	BIGRAM	1.000	4	[('a', 'participant')]
Other	BIGRAM	1.000	4	[('into', 'deep')]
Other	BIGRAM	1.000	4	[('at', 'an')]
Other	BIGRAM	1.000	4	[('cultivate', 'the')]
Instrument-Agency(e2,e1)	BIGRAM	1.000	4	[('kill', 'the')]
Instrument-Agency(e2,e1)	BIGRAM	1.000	4	[('she', 'with')]
Cause-Effect(e2,e1)	BIGRAM	1.000	4	[('instigate', 'by')]
Entity-Destination(e1,e2)	LEMMA	1.000	4	['export']
Entity-Destination(e1,e2)	BIGRAM	1.000	4	[('be', 'export')]
Entity-Destination(e1,e2)	BIGRAM	1.000	4	[('export', 'to')]
Entity-Destination(e1,e2)	BIGRAM	1.000	4	[('carry', 'into')]
Entity-Destination(e1,e2)	BEFORE_E1	1.000	4	['export']
Entity-Destination(e1,e2)	BIGRAM	1.000	4	[('directly', 'into')]
Entity-Destination(e1,e2)	LEMMA	1.000	4	['donate']
Entity-Destination(e1,e2)	BIGRAM	1.000	4	[('be', 'donate')]
Entity-Destination(e1,e2)	BIGRAM	1.000	4	[('donate', 'to')]
Entity-Destination(e1,e2)	BIGRAM	1.000	4	[('over', 'to')]
Entity-Destination(e1,e2)	BIGRAM	1.000	4	[('award', 'to')]
Entity-Destination(e1,e2)	BEFORE_E1	1.000	4	['deliver']
Entity-Destination(e1,e2)	LEMMA	1.000	4	['pour']
Entity-Destination(e1,e2)	BIGRAM	1.000	4	[('to', 'another')]
Message-Topic(e1,e2)	BIGRAM	1.000	4	[('have', 'to')]
Message-Topic(e1,e2)	BIGRAM	1.000	4	[('center', 'around')]
Message-Topic(e1,e2)	BIGRAM	1.000	4	[('depict', 'the')]
Message-Topic(e1,e2)	BIGRAM	1.000	4	[('speak', 'about')]
Message-Topic(e1,e2)	BIGRAM	1.000	4	[('comment', 'on')]
Message-Topic(e1,e2)	LEMMA	1.000	4	['swirl']
Message-Topic(e1,e2)	BIGRAM	1.000	4	[('to', 'discuss')]
Message-Topic(e1,e2)	LEMMA	1.000	4	['reveal']
Message-Topic(e1,e2)	BIGRAM	1.000	4	[('chart', 'the')]
Product-Producer(e2,e1)	BIGRAM	1.000	4	[('build', 'the')]
Product-Producer(e2,e1)	BIGRAM	1.000	4	[('invent', 'a')]
Product-Producer(e2,e1)	BIGRAM	1.000	4	[('build', 'a')]
Entity-Origin(e1,e2)	BIGRAM	1.000	4	[('evaporate', 'from')]
Entity-Origin(e1,e2)	BIGRAM	1.000	4	[('off', 'from')]
Entity-Origin(e1,e2)	BIGRAM	1.000	4	[('produce', 'from')]
Entity-Origin(e1,e2)	BIGRAM	1.000	4	[('move', 'from')]
Entity-Origin(e1,e2)	BIGRAM	1.000	4	[('from', 'outer')]
Entity-Origin(e1,e2)	BIGRAM	1.000	4	[('from', 'past')]
Entity-Origin(e1,e2)	LEMMA	1.000	4	['abscond']
Entity-Origin(e1,e2)	BIGRAM	1.000	4	[('abscond', 'from')]
Cause-Effect(e1,e2)	LEMMA	1.000	4	['acne']
Cause-Effect(e1,e2)	BIGRAM	1.000	4	[('which', 'cause')]
Message-Topic(e2,e1)	BIGRAM	1.000	4	[('be', 'document')]
Message-Topic(e2,e1)	LEMMA	1.000	4	['theme']
Message-Topic(e2,e1)	BIGRAM	1.000	4	[('summarise', 'in')]
Product-Producer(e1,e2)	BIGRAM	1.000	4	[('the', 'pen')]
Product-Producer(e1,e2)	BIGRAM	1.000	4	[('pen', 'of')]
Other	DEP_VERB	1.000	4	['cultivate', 'nsubj', 'dobj']
Message-Topic(e1,e2)	DEP_VERB	1.000	4	['show', 'nsubj', 'dobj']
Message-Topic(e2,e1)	DEP_VERB	1.000	4	['receive', 'nsubj', 'dobj']
Component-Whole(e2,e1)	BIGRAM	1.000	3	[('regulate', 'the')]
Component-Whole(e2,e1)	LEMMA	1.000	3	['vastus']
Component-Whole(e2,e1)	LEMMA	1.000	3	['front']
Other	LEMMA	1.000	3	['temple']
Other	LEMMA	1.000	3	['vessel']
Other	BIGRAM	1.000	3	[('associate', 'with')]
Other	BEFORE_E1	1.000	3	['inherit']
Other	LEMMA	1.000	3	['prove']
Other	BIGRAM	1.000	3	[('extend', 'from')]
Other	BIGRAM	1.000	3	[('be', 'indicate')]
Other	BIGRAM	1.000	3	[('indicate', 'with')]
Other	BIGRAM	1.000	3	[('an', 'initial')]
Other	LEMMA	1.000	3	['user']
Other	BEFORE_E1	1.000	3	['infamous']
Other	BIGRAM	1.000	3	[('have', 'depart')]
Other	BIGRAM	1.000	3	[('depart', 'into')]
Other	BIGRAM	1.000	3	[('attach', 'to')]
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	[('clean', 'the')]
Instrument-Agency(e2,e1)	LEMMA	1.000	3	['stir']
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	[('stir', 'the')]
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	[('less', 'than')]
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	[('access', 'the')]
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	[('they', 'with')]
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	[('treat', 'the')]
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	[('tear', 'the')]
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	[('kill', 'she')]
Instrument-Agency(e2,e1)	LEMMA	1.000	3	['threaten']
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	[('choose', 'the')]
Cause-Effect(e2,e1)	BIGRAM	1.000	3	[('by', 'infection')]
Cause-Effect(e2,e1)	BIGRAM	1.000	3	[('infection', 'with')]
Cause-Effect(e2,e1)	LEMMA	1.000	3	['bacterial']
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('into', 'several')]
Entity-Destination(e1,e2)	LEMMA	1.000	3	['postpone']
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('be', 'postpone')]
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('postpone', 'to')]
Entity-Destination(e1,e2)	BEFORE_E1	1.000	3	['place']
Entity-Destination(e1,e2)	BEFORE_E1	1.000	3	['implant']
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('spread', 'to')]
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('into', 'her')]
Entity-Destination(e1,e2)	BEFORE_E1	1.000	3	['japanese']
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('to', 'several')]
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('then', 'place')]
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('into', 'its')]
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('be', 'award')]
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('insert', 'into')]
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('be', 'arrive')]
Entity-Destination(e1,e2)	BEFORE_E1	1.000	3	['dump']
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('be', 'enter')]
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('be', 'pour')]
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('pour', 'into')]
Entity-Destination(e1,e2)	BIGRAM	1.000	3	[('have', 'fly')]
Content-Container(e1,e2)	BIGRAM	1.000	3	[('sit', 'in')]
Content-Container(e1,e2)	AFTER_E2	1.000	3	['label']
Content-Container(e1,e2)	AFTER_E2	1.000	3	['full']
Content-Container(e1,e2)	BEFORE_E1	1.000	3	['keep']
Message-Topic(e1,e2)	LEMMA	1.000	3	['remind']
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('give', 'detail')]
Message-Topic(e1,e2)	LEMMA	1.000	3	['relative']
Message-Topic(e1,e2)	BEFORE_E1	1.000	3	['comprehensive']
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('relate', 'the')]
Message-Topic(e1,e2)	BEFORE_E1	1.000	3	['monthly']
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('illustrate', 'the')]
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('prepare', 'on')]
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('to', 'present')]
Message-Topic(e1,e2)	LEMMA	1.000	3	['summary']
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('a', 'summary')]
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('summary', 'of')]
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('declare', 'the')]
Message-Topic(e1,e2)	LEMMA	1.000	3	['assert']
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('tell', 'of')]
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('that', 'comment')]
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('a', 'description')]
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('detail', 'the')]
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('explore', 'the')]
Message-Topic(e1,e2)	LEMMA	1.000	3	['introduction']
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('an', 'introduction')]
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('highlight', 'the')]
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('the', 'point')]
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('point', 'that')]
Message-Topic(e1,e2)	LEMMA	1.000	3	['class']
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('out', 'that')]
Message-Topic(e1,e2)	LEMMA	1.000	3	['compare']
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('reveal', 'the')]
Message-Topic(e1,e2)	BIGRAM	1.000	3	[('show', 'a')]
Message-Topic(e1,e2)	BEFORE_E1	1.000	3	['detailed']
Product-Producer(e2,e1)	BIGRAM	1.000	3	[('just', 'complete')]
Product-Producer(e2,e1)	BIGRAM	1.000	3	[("'s", 'output')]
Product-Producer(e2,e1)	BIGRAM	1.000	3	[('who', 'do')]
Product-Producer(e2,e1)	BIGRAM	1.000	3	[('say', 'in')]
Product-Producer(e2,e1)	BIGRAM	1.000	3	[('production', 'of')]
Product-Producer(e2,e1)	BIGRAM	1.000	3	[('complete', 'the')]
Product-Producer(e2,e1)	BIGRAM	1.000	3	[('post', 'a')]
Product-Producer(e2,e1)	BIGRAM	1.000	3	[('draft', 'the')]
Product-Producer(e2,e1)	BIGRAM	1.000	3	[('who', 'write')]
Product-Producer(e2,e1)	BIGRAM	1.000	3	[('have', 'draw')]
Product-Producer(e2,e1)	BIGRAM	1.000	3	[('manufacture', 'the')]
Member-Collection(e2,e1)	LEMMA	1.000	3	['baby']
Member-Collection(e2,e1)	BIGRAM	1.000	3	[('of', 'seven')]
Member-Collection(e2,e1)	BIGRAM	1.000	3	[('of', 'senior')]
Entity-Origin(e1,e2)	BIGRAM	1.000	3	[('leave', 'her')]
Entity-Origin(e1,e2)	BIGRAM	1.000	3	[('her', 'native')]
Entity-Origin(e1,e2)	LEMMA	1.000	3	['evolve']
Entity-Origin(e1,e2)	BIGRAM	1.000	3	[('be', 'evolve')]
Entity-Origin(e1,e2)	BIGRAM	1.000	3	[('evolve', 'from')]
Entity-Origin(e1,e2)	LEMMA	1.000	3	['elude']
Entity-Origin(e1,e2)	BIGRAM	1.000	3	[('elude', 'from')]
Entity-Origin(e1,e2)	LEMMA	1.000	3	['ferment']
Entity-Origin(e1,e2)	BIGRAM	1.000	3	[('from', 'ferment')]
Entity-Origin(e1,e2)	BIGRAM	1.000	3	[('from', 'my')]
Entity-Origin(e1,e2)	BIGRAM	1.000	3	[('an', 'ancient')]
Entity-Origin(e1,e2)	BIGRAM	1.000	3	[('his', 'small')]
Cause-Effect(e1,e2)	LEMMA	1.000	3	['ding']
Cause-Effect(e1,e2)	BIGRAM	1.000	3	[('cause', 'heart')]
Cause-Effect(e1,e2)	LEMMA	1.000	3	['dryness']
Cause-Effect(e1,e2)	BIGRAM	1.000	3	[('cause', 'dryness')]
Cause-Effect(e1,e2)	LEMMA	1.000	3	['illness']
Cause-Effect(e1,e2)	BIGRAM	1.000	3	[('cause', 'respiratory')]
Cause-Effect(e1,e2)	LEMMA	1.000	3	['headache']
Cause-Effect(e1,e2)	BIGRAM	1.000	3	[('cause', 'headache')]
Cause-Effect(e1,e2)	BIGRAM	1.000	3	[('headache', 'and')]
Cause-Effect(e1,e2)	BIGRAM	1.000	3	[('stress', 'and')]
Cause-Effect(e1,e2)	BIGRAM	1.000	3	[('cause', 'stress')]
Cause-Effect(e1,e2)	LEMMA	1.000	3	['medial']
Cause-Effect(e1,e2)	LEMMA	1.000	3	['severe']
Cause-Effect(e1,e2)	BIGRAM	1.000	3	[('the', 'medial')]
Cause-Effect(e1,e2)	BIGRAM	1.000	3	[('medial', 'part')]
Cause-Effect(e1,e2)	BIGRAM	1.000	3	[('instigate', 'the')]
Cause-Effect(e1,e2)	BIGRAM	1.000	3	[('emit', 'a')]
Component-Whole(e1,e2)	AFTER_E2	1.000	3	['open']
Component-Whole(e1,e2)	LEMMA	1.000	3	['later']
Component-Whole(e1,e2)	AFTER_E2	1.000	3	['itself']
Component-Whole(e1,e2)	BIGRAM	1.000	3	[('basic', 'element')]
Message-Topic(e2,e1)	BIGRAM	1.000	3	[('be', 'analyse')]
Message-Topic(e2,e1)	BIGRAM	1.000	3	[('analyse', 'in')]
Message-Topic(e2,e1)	BIGRAM	1.000	3	[('theme', 'of')]
Message-Topic(e2,e1)	BIGRAM	1.000	3	[('be', 'summarise')]
Message-Topic(e2,e1)	BIGRAM	1.000	3	[('document', 'in')]
Message-Topic(e2,e1)	BIGRAM	1.000	3	[('discuss', 'in')]
Message-Topic(e2,e1)	BIGRAM	1.000	3	[('be', 'consider')]
Message-Topic(e2,e1)	BIGRAM	1.000	3	[('be', 'depict')]
Message-Topic(e2,e1)	BIGRAM	1.000	3	[('depict', 'in')]
Message-Topic(e2,e1)	BIGRAM	1.000	3	[('already', 'be')]
Product-Producer(e1,e2)	BIGRAM	1.000	3	[('having', 'be')]
Product-Producer(e1,e2)	LEMMA	1.000	3	['imagination']
Product-Producer(e1,e2)	BIGRAM	1.000	3	[('imagination', 'of')]
Product-Producer(e1,e2)	BIGRAM	1.000	3	[('be', 'create')]
Product-Producer(e1,e2)	BIGRAM	1.000	3	[('cook', 'by')]
Product-Producer(e1,e2)	LEMMA	1.000	3	['italian']
Product-Producer(e1,e2)	BIGRAM	1.000	3	[('an', 'italian')]
Other	DEP_VERB	1.000	3	['denote', 'nsubj', 'dobj']
Other	DEP_VERB	1.000	3	['plant', 'nsubj', 'dobj']
Member-Collection(e1,e2)	DEP_VERB	1.000	3	['join', 'nsubj', 'dobj']
Message-Topic(e1,e2)	DEP_VERB	1.000	3	['advertise', 'nsubj', 'dobj']
Message-Topic(e1,e2)	DEP_VERB	1.000	3	['define', 'nsubj', 'dobj']
Message-Topic(e1,e2)	DEP_VERB	1.000	3	['declare', 'nsubj', 'dobj']
Message-Topic(e1,e2)	DEP_VERB	1.000	3	['relate', 'nsubj', 'dobj']
Message-Topic(e1,e2)	DEP_VERB	1.000	3	['illustrate', 'nsubj', 'dobj']
Message-Topic(e1,e2)	DEP_VERB	1.000	3	['depict', 'nsubj', 'dobj']
Message-Topic(e1,e2)	DEP_VERB	1.000	3	['outline', 'nsubj', 'dobj']
Message-Topic(e1,e2)	DEP_VERB	1.000	3	['detail', 'nsubj', 'dobj']
Message-Topic(e1,e2)	DEP_VERB	1.000	3	['point', 'nsubj', 'dobj']
Cause-Effect(e1,e2)	DEP_VERB	1.000	3	['radiate', 'nsubj', 'dobj']
Component-Whole(e2,e1)	LEMMA	1.000	2	['quadricep']
Component-Whole(e2,e1)	LEMMA	1.000	2	['femoris']
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('be', 'fit')]
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('fit', 'with')]
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('a', 'pair')]
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('bring', 'together')]
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('begin', 'with')]
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('a', 'full')]
Component-Whole(e2,e1)	LEMMA	1.000	2	['fully']
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('a', 'fully')]
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('process', 'the')]
Component-Whole(e2,e1)	LEMMA	1.000	2	['stretch']
Component-Whole(e2,e1)	BEFORE_E1	1.000	2	['connector']
Component-Whole(e2,e1)	LEMMA	1.000	2	['load']
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('a', 'spring')]
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('spring', 'load')]
Component-Whole(e2,e1)	LEMMA	1.000	2	['dual']
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('a', 'dual')]
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('with', 'small')]
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('on', 'its')]
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('be', 'far')]
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('far', 'comprise')]
Component-Whole(e2,e1)	LEMMA	1.000	2	['bath']
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('a', 'central')]
Component-Whole(e2,e1)	BEFORE_E1	1.000	2	['classic']
Component-Whole(e2,e1)	LEMMA	1.000	2	['maximum']
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('a', 'maximum')]
Component-Whole(e2,e1)	BIGRAM	1.000	2	[('contain', 'various')]
Other	BIGRAM	1.000	2	[('pertinent', 'to')]
Other	BIGRAM	1.000	2	[('denote', 'by')]
Other	BIGRAM	1.000	2	[('the', 'product')]
Other	BIGRAM	1.000	2	[('product', 'of')]
Other	BIGRAM	1.000	2	[('to', 'report')]
Other	BIGRAM	1.000	2	[('cure', 'for')]
Other	BIGRAM	1.000	2	[('temple', 'by')]
Other	LEMMA	1.000	2	['assembly']
Other	BIGRAM	1.000	2	[('the', 'vessel')]
Other	BIGRAM	1.000	2	[('a', 'genetically')]
Other	BIGRAM	1.000	2	[('genetically', 'engineer')]
Other	BEFORE_E1	1.000	2	['before']
Other	BIGRAM	1.000	2	[('of', 'fellow')]
Other	BIGRAM	1.000	2	[('denote', 'with')]
Other	LEMMA	1.000	2	['intensive']
Other	BEFORE_E1	1.000	2	['slide']
Other	BEFORE_E1	1.000	2	['complete']
Other	LEMMA	1.000	2	['simply']
Other	BIGRAM	1.000	2	[('be', 'extend')]
Other	BIGRAM	1.000	2	[('to', 'assess')]
Other	LEMMA	1.000	2	['wave']
Other	BIGRAM	1.000	2	[('denote', 'the')]
Other	LEMMA	1.000	2	['difficult']
Other	BIGRAM	1.000	2	[('a', 'difficult')]
Other	BIGRAM	1.000	2	[('escape', 'an')]
Other	BIGRAM	1.000	2	[('require', 'a')]
Other	LEMMA	1.000	2	['fulfill']
Other	LEMMA	1.000	2	['mathematical']
Other	LEMMA	1.000	2	['reduce']
Other	LEMMA	1.000	2	['preliminary']
Other	BIGRAM	1.000	2	[('the', 'preliminary')]
Other	BIGRAM	1.000	2	[('a', 'successful')]
Other	LEMMA	1.000	2	['diminish']
Other	LEMMA	1.000	2	['miracle']
Other	BIGRAM	1.000	2	[('a', 'miracle')]
Other	LEMMA	1.000	2	['attempt']
Other	LEMMA	1.000	2	['medicine']
Other	BIGRAM	1.000	2	[('of', 'medicine')]
Other	LEMMA	1.000	2	['substrate']
Other	LEMMA	1.000	2	['profit']
Other	LEMMA	1.000	2	['hole']
Other	BIGRAM	1.000	2	[('a', 'secure')]
Other	BIGRAM	1.000	2	[('into', 'great')]
Other	BIGRAM	1.000	2	[('vessel', 'be')]
Other	BIGRAM	1.000	2	[('be', 'assist')]
Other	BIGRAM	1.000	2	[('assist', 'by')]
Other	BIGRAM	1.000	2	[('on', 'which')]
Other	BIGRAM	1.000	2	[('be', 'attach')]
Other	LEMMA	1.000	2	['copy']
Other	BEFORE_E1	1.000	2	['outdoor']
Other	BEFORE_E1	1.000	2	['considerable']
Other	LEMMA	1.000	2	['diamond']
Other	BIGRAM	1.000	2	[('the', 'home')]
Other	BIGRAM	1.000	2	[('home', 'with')]
Other	BIGRAM	1.000	2	[('only', 'the')]
Other	BIGRAM	1.000	2	[('this', 'article')]
Other	BIGRAM	1.000	2	[('article', 'investigate')]
Other	BIGRAM	1.000	2	[('investigate', 'two')]
Other	BIGRAM	1.000	2	[('plant', 'a')]
Other	BIGRAM	1.000	2	[('the', 'child')]
Other	LEMMA	1.000	2	['determine']
Other	BIGRAM	1.000	2	[('to', 'determine')]
Other	LEMMA	1.000	2	['inspire']
Other	BIGRAM	1.000	2	[('be', 'inspire')]
Other	BIGRAM	1.000	2	[('inspire', 'by')]
Other	AFTER_E2	1.000	2	['early']
Other	LEMMA	1.000	2	['insurance']
Other	LEMMA	1.000	2	['bullet']
