id,sentence_raw,sentence_clean,e1,e2,relation_full,relation_type,relation_direction,comment
19,The girl showed a photo of apple <e1>tree</e1> <e2>blossom</e2> on a fruit tree in the Central Valley.,The girl showed a photo of apple tree blossom on a fruit tree in the Central Valley.,tree,blossom,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
20,"They tried an assault of their own an hour later, with two columns of sixteen tanks backed by a <e1>battalion</e1> of Panzer <e2>grenadiers</e2>.","They tried an assault of their own an hour later, with two columns of sixteen tanks backed by a battalion of Panzer grenadiers.",battalion,grenadiers,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
21,"Their <e1>knowledge</e1> of the power and rank symbols of the Continental empires was gained from the numerous Germanic <e2>recruits</e2> in the Roman army, and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces.","Their knowledge of the power and rank symbols of the Continental empires was gained from the numerous Germanic recruits in the Roman army, and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces.",knowledge,recruits,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
22,She soon had a <e1>stable</e1> of her own rescued <e2>hounds</e2>.,She soon had a stable of her own rescued hounds.,stable,hounds,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
23,"The <e1>singer</e1>, who performed three of the nominated songs, also caused a <e2>commotion</e2> on the red carpet.","The singer, who performed three of the nominated songs, also caused a commotion on the red carpet.",singer,commotion,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
24,His intellectually engaging books and <e1>essays</e1> remain pertinent to illuminating contemporary <e2>history</e2>.,His intellectually engaging books and essays remain pertinent to illuminating contemporary history.,essays,history,Other,Other,none,"""pertinent to"" is not necessarily about"
25,"Poor hygiene controls, reports of a <e1>brace</e1> of gamey <e2>grouse</e2> and what looked like a skinned fox all amounted to a pie that was unfit for human consumption.","Poor hygiene controls, reports of a brace of gamey grouse and what looked like a skinned fox all amounted to a pie that was unfit for human consumption.",brace,grouse,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",modality is outside
26,"This sweet <e1>dress</e1> is made with a <e2>blend</e2> of cotton and silk, and the crochet flower necklace is the perfect accessory.","This sweet dress is made with a blend of cotton and silk, and the crochet flower necklace is the perfect accessory.",dress,blend,Other,Other,none,the blend is the material out of which the dress is made; can't be Entity-Origin because the material is still present in the dress
27,"<e1>Suicide</e1> is one of the leading causes of <e2>death</e2> among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide.","Suicide is one of the leading causes of death among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide.",Suicide,death,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
28,"This <e1>article</e1> gives details on 2004 in <e2>music</e2> in the United Kingdom, including the official charts from that year.","This article gives details on 2004 in music in the United Kingdom, including the official charts from that year.",article,music,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
29,We have therefore taken the initiative to convene the first international open <e1>meeting</e1> dedicated solely to <e2>rural history</e2>.,We have therefore taken the initiative to convene the first international open meeting dedicated solely to rural history.,meeting,rural history,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
30,"The <e1>timer</e1> of the <e2>device</e2> automatically eliminates wasted ""standby power"" consumption by automatically turn off electronics plugged into the ""auto off"" outlets.","The timer of the device automatically eliminates wasted ""standby power"" consumption by automatically turn off electronics plugged into the ""auto off"" outlets.",timer,device,"Component-Whole(e1,e2)",Component-Whole,"e1,e2","""by turn off"" should be ""by turning off"", error is in the source text."
31,Bob Parks made a similar <e1>offer</e1> in a <e2>phone call</e2> made earlier this week.,Bob Parks made a similar offer in a phone call made earlier this week.,offer,phone call,"Message-Topic(e2,e1)",Message-Topic,"e2,e1",
32,He had chest pains and <e1>headaches</e1> from <e2>mold</e2> in the bedrooms.,He had chest pains and headaches from mold in the bedrooms.,headaches,mold,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
33,The silver-haired author was not just laying India's politician saint to rest but healing a generations-old rift in the family of the <e1>country</e1>'s founding <e2>father</e2>.,The silver-haired author was not just laying India's politician saint to rest but healing a generations-old rift in the family of the country's founding father.,country,father,"Product-Producer(e1,e2)",Product-Producer,"e1,e2",in an abstract way the country is built/founded/produced by the father
34,It describes a method for loading a horizontal <e1>stack</e1> of containers into a <e2>carton</e2>.,It describes a method for loading a horizontal stack of containers into a carton.,stack,carton,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",the carton holds the containers
35,The Foundation decided to repurpose the building in order to reduce wear and tear on the <e1>plumbing</e1> in the <e2>manor house</e2> by redirecting visitors during restoration projects and beyond.,The Foundation decided to repurpose the building in order to reduce wear and tear on the plumbing in the manor house by redirecting visitors during restoration projects and beyond.,plumbing,manor house,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
36,The technology is available to produce and transmit <e1>electricity</e1> economically from OTEC <e2>systems</e2>.,The technology is available to produce and transmit electricity economically from OTEC systems.,electricity,systems,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
37,The Medicare buy-in <e1>plan</e1> ran into Senate <e2>resistance</e2>.,The Medicare buy-in plan ran into Senate resistance.,plan,resistance,Other,Other,none,violates c.3
38,"The <e1>provinces</e1> are divided into <e2>counties</e2> (shahrestan), and subdivided into districts (bakhsh) and sub-districts (dehestan).","The provinces are divided into counties (shahrestan), and subdivided into districts (bakhsh) and sub-districts (dehestan).",provinces,counties,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
39,Financial <e1>stress</e1> is one of the main causes of <e2>divorce</e2>.,Financial stress is one of the main causes of divorce.,stress,divorce,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
40,<e1>Newspapers</e1> swap content via widgets with the help of the newsgator <e2>service</e2>.,Newspapers swap content via widgets with the help of the newsgator service.,Newspapers,service,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
41,The <e1>women</e1> that caused the <e2>accident</e2> was on the cell phone and ran thru the intersection without pausing on the median.,The women that caused the accident was on the cell phone and ran thru the intersection without pausing on the median.,women,accident,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
42,The <e1>transmitter</e1> was discovered inside a bed settee <e2>suite</e2> on which he had been sitting.,The transmitter was discovered inside a bed settee suite on which he had been sitting.,transmitter,suite,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
43,The Kerala backwaters are a <e1>chain</e1> of brackish <e2>lagoons</e2> and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India.,The Kerala backwaters are a chain of brackish lagoons and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India.,chain,lagoons,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
44,"A St. Paul College <e1>student</e1> was released from <e2>jail</e2> Wednesday night, after his arrest Tuesday in the alleged rape of another student on campus.","A St. Paul College student was released from jail Wednesday night, after his arrest Tuesday in the alleged rape of another student on campus.",student,jail,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
45,<e1>Calluses</e1> are caused by improperly fitting shoes or by a <e2>skin abnormality</e2>.,Calluses are caused by improperly fitting shoes or by a skin abnormality.,Calluses,skin abnormality,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
46,<e1>Adults</e1> use <e2>drugs</e2> for this purpose.,Adults use drugs for this purpose.,Adults,drugs,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
47,The <e1>councilor</e1> proposed assessing infinitival complements through <e2>elicitation</e2>.,The councilor proposed assessing infinitival complements through elicitation.,councilor,elicitation,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
48,"As in the popular movie ""Deep Impact"", the action of the Perseid <e1>meteor shower</e1> is caused by a <e2>comet</e2>, in this case periodic comet Swift-Tuttle.","As in the popular movie ""Deep Impact"", the action of the Perseid meteor shower is caused by a comet, in this case periodic comet Swift-Tuttle.",meteor shower,comet,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
49,The following information appeared in the <e1>notes</e1> to consolidated financial <e2>statements</e2> of some corporate annual reports.,The following information appeared in the notes to consolidated financial statements of some corporate annual reports.,notes,statements,Other,Other,none,We do not know what the notes are talking about; we only know that the notes are somehow connected to the statement.
50,HipHop appropriates the symbols of a consumer society: oversized <e1>diamond</e1> <e2>colliers</e2> are worn.,HipHop appropriates the symbols of a consumer society: oversized diamond colliers are worn.,diamond,colliers,Other,Other,none,
51,The <e1>radiation</e1> from the atomic <e2>bomb explosion</e2> is a typical acute radiation.,The radiation from the atomic bomb explosion is a typical acute radiation.,radiation,bomb explosion,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
52,The ride-on <e1>boat</e1> <e2>tiller</e2> was developed by engineers Arnold S. Juliano and Dr. Eulito U. Bautista.,The ride-on boat tiller was developed by engineers Arnold S. Juliano and Dr. Eulito U. Bautista.,boat,tiller,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
53,A neoplastic <e1>recurrence</e1> arose from an extensive <e2>radiation</e2> induced ulceration.,A neoplastic recurrence arose from an extensive radiation induced ulceration.,recurrence,radiation,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
54,He has a tattoo on his right arm and <e1>scars</e1> from <e2>stitches</e2> on his right elbow.,He has a tattoo on his right arm and scars from stitches on his right elbow.,scars,stitches,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
55,"Whether your home includes a charm of finches, a sute of bloodhounds, or a <e1>knob</e1> of <e2>toads</e2>, I think it's important to keep the numbers within reason.","Whether your home includes a charm of finches, a sute of bloodhounds, or a knob of toads, I think it's important to keep the numbers within reason.",knob,toads,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
56,"Furthermore, these INGO practitioners constructed a <e1>discourse</e1> around <e2>participation</e2> which distorted the real significance of participation.","Furthermore, these INGO practitioners constructed a discourse around participation which distorted the real significance of participation.",discourse,participation,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
57,Kelvin bought a <e1>silver</e1> <e2>ring</e2> which he was so happy with and he keeps wearing it now even though its abit too big haha.,Kelvin bought a silver ring which he was so happy with and he keeps wearing it now even though its abit too big haha.,silver,ring,Other,Other,none,
58,Scientists are in the midst of an ongoing <e1>debate</e1> about the relative <e2>value</e2> of openness and collaboration in their profession.,Scientists are in the midst of an ongoing debate about the relative value of openness and collaboration in their profession.,debate,value,"Message-Topic(e1,e2)",Message-Topic,"e1,e2","A debate is a multi-way message. (Debatable, I know.)"
59,This cut blue and white striped cotton <e1>dress</e1> with red bands on the bodice was in a <e2>trunk</e2> of vintage Barbie clothing.,This cut blue and white striped cotton dress with red bands on the bodice was in a trunk of vintage Barbie clothing.,dress,trunk,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
60,My major <e1>disagreement</e1> with Lyons concerns the <e2>causal part</e2> of his theory.,My major disagreement with Lyons concerns the causal part of his theory.,disagreement,causal part,Other,Other,none,
61,Both his <e1>feet</e1> have been moving into the <e2>ball</e2>.,Both his feet have been moving into the ball.,feet,ball,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
62,"The scissors were in a small plastic soap container, next to a bar of soap, and the <e1>box cutters</e1> were in a <e2>box</e2> next to a bottle of after-shave lotion.","The scissors were in a small plastic soap container, next to a bar of soap, and the box cutters were in a box next to a bottle of after-shave lotion.",box cutters,box,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
63,"A great <e1>wing</e1> of fluorite <e2>dragons</e2>, the greatest concentration of the rather solitary dragons ever known, joined the desperate battle with the blues and silvers against Chaos.","A great wing of fluorite dragons, the greatest concentration of the rather solitary dragons ever known, joined the desperate battle with the blues and silvers against Chaos.",wing,dragons,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
64,"As a control, <e1>cowpea</e1> was sealed in <e2>double bags</e2> without fumigant.","As a control, cowpea was sealed in double bags without fumigant.",cowpea,double bags,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
65,The infectious bacterial disease <e1>brucellosis</e1> has been found in a beef <e2>cow</e2> in eastern Idaho.,The infectious bacterial disease brucellosis has been found in a beef cow in eastern Idaho.,brucellosis,cow,Other,Other,none,diseases are not parts.
66,"As the Anglo-Norman force sustained but little loss in this battle, their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour, and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights, completed the havoc and <e1>rout</e1> of the undisciplined Gaelic <e2>hosts</e2>.","As the Anglo-Norman force sustained but little loss in this battle, their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour, and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights, completed the havoc and rout of the undisciplined Gaelic hosts.",rout,hosts,Other,Other,none,"The pattern is at fault -- ""rout"" is not the name of a grouping; negation is outside"
67,"The first incarnation of this series was set in the 1940s, during World War II, when the <e1>princess</e1> left her native paradise <e2>island</e2> (where Amazon women had lived for centuries) to help the U.S. foil the Nazis.","The first incarnation of this series was set in the 1940s, during World War II, when the princess left her native paradise island (where Amazon women had lived for centuries) to help the U.S. foil the Nazis.",princess,island,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
68,Cieply's <e1>story</e1> makes a compelling <e2>point</e2> about modern-day studio economics.,Cieply's story makes a compelling point about modern-day studio economics.,story,point,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
69,We poured the <e1>milk</e1> into the <e2>pumpkin mixture</e2>.,We poured the milk into the pumpkin mixture.,milk,pumpkin mixture,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
70,Lawyers in Detroit also worked overtime as several <e1>lawsuits</e1> ensued from angry and injured <e2>fans</e2>.,Lawyers in Detroit also worked overtime as several lawsuits ensued from angry and injured fans.,lawsuits,fans,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
71,The continuing Nigerian <e1>outbreak</e1> is the biggest ever caused by the <e2>vaccine</e2>.,The continuing Nigerian outbreak is the biggest ever caused by the vaccine.,outbreak,vaccine,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
72,Our mercenary Army has now degenerated into a Godless <e1>cabal</e1> of mindless <e2>killers</e2> not unlike the Soviets that were butchering civilians in Afghanistan (exactly as sadistically as we have).,Our mercenary Army has now degenerated into a Godless cabal of mindless killers not unlike the Soviets that were butchering civilians in Afghanistan (exactly as sadistically as we have).,cabal,killers,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
73,The <e1>fire</e1> inside WTC was caused by exploding <e2>fuel</e2>.,The fire inside WTC was caused by exploding fuel.,fire,fuel,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
74,The <e1>epithelium</e1> from the knockout mouse bladder is migrating into the transplanted <e2>matrix</e2>.,The epithelium from the knockout mouse bladder is migrating into the transplanted matrix.,epithelium,matrix,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
75,The <e1>staff</e1> was removed from his <e2>position</e2>.,The staff was removed from his position.,staff,position,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
76,The <e1>suffering</e1> caused by the <e2>terrorists</e2> is the real torture.,The suffering caused by the terrorists is the real torture.,suffering,terrorists,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
77,This <e1>love</e1> of nature's gift has been reflected in <e2>artworks</e2> dating back more than a thousand years.,This love of nature's gift has been reflected in artworks dating back more than a thousand years.,love,artworks,"Message-Topic(e2,e1)",Message-Topic,"e2,e1",
78,The <e1>court</e1> decided the objection by making the instalment <e2>order</e2> as sought.,The court decided the objection by making the instalment order as sought.,court,order,"Product-Producer(e2,e1)",Product-Producer,"e2,e1",
79,"In a poetic twist, the <e1>tsunami</e1> triggered by the rock <e2>band</e2> forced many American jazz and blues singers to seek work in the United Kingdom, which is where Anderson found a receptive audience in 1965.","In a poetic twist, the tsunami triggered by the rock band forced many American jazz and blues singers to seek work in the United Kingdom, which is where Anderson found a receptive audience in 1965.",tsunami,band,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
80,<e1>Leakage</e1> and fire caused due to <e2>corrosion</e2> of bypass piping for recirculation gas at a fuel oil desulphurization unit.,Leakage and fire caused due to corrosion of bypass piping for recirculation gas at a fuel oil desulphurization unit.,Leakage,corrosion,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
81,A team of students from Virginia Tech University have created a vehicle that allows vision impaired <e1>drivers</e1> to take control of the <e2>wheel</e2>.,A team of students from Virginia Tech University have created a vehicle that allows vision impaired drivers to take control of the wheel.,drivers,wheel,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
82,BMW's iDrive 4.0 brings in a <e1>horde</e1> of new <e2>features</e2>.,BMW's iDrive 4.0 brings in a horde of new features.,horde,features,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
83,The metal <e1>ball</e1> makes a ding ding ding <e2>noise</e2> when it swings back and hits the metal body of the lamp.,The metal ball makes a ding ding ding noise when it swings back and hits the metal body of the lamp.,ball,noise,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
84,It consists of an <e1>ensemble</e1> of <e2>ladies</e2> who are highly qualified to play various Arabic musical instruments.,It consists of an ensemble of ladies who are highly qualified to play various Arabic musical instruments.,ensemble,ladies,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
85,It underscores the need for continued surveillance of nicotine delivery in <e1>products</e1> created by an unregulated <e2>industry</e2>.,It underscores the need for continued surveillance of nicotine delivery in products created by an unregulated industry.,products,industry,"Product-Producer(e1,e2)",Product-Producer,"e1,e2",(a) is satisfied
86,"Unlike other fish, grunion come out of the water completely to lay their eggs in the wet <e1>sand</e1> of the <e2>beach</e2>.","Unlike other fish, grunion come out of the water completely to lay their eggs in the wet sand of the beach.",sand,beach,Other,Other,none,
87,A large <e1>marble</e1> was dropped into the <e2>bowl</e2>.,A large marble was dropped into the bowl.,marble,bowl,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
88,Historical view of the <e1>damage</e1> caused by the 1693 Catania <e2>earthquake</e2> and the reconstruction activities.,Historical view of the damage caused by the 1693 Catania earthquake and the reconstruction activities.,damage,earthquake,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
89,"AI requested that the perpetrators be prosecuted to the fullest extent of the law, that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the <e1>suffering</e1> caused by the responsible police <e2>officers</e2>.","AI requested that the perpetrators be prosecuted to the fullest extent of the law, that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the suffering caused by the responsible police officers.",suffering,officers,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
90,The <e1>findings</e1> have been published in a special <e2>section</e2> of the academic journal Archives of Sexual Behavior.,The findings have been published in a special section of the academic journal Archives of Sexual Behavior.,findings,section,Other,Other,none,Location. It cannot be Content-Container since the Content should be removable. It also cannot be Component-Whole since it violates (d).
91,An Amtrak <e1>passenger</e1> who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the <e2>train</e2> and is being held in Colorado.,An Amtrak passenger who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the train and is being held in Colorado.,passenger,train,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
92,The <e1>introduction</e1> in the <e2>book</e2> is a summary of what is in the text.,The introduction in the book is a summary of what is in the text.,introduction,book,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
93,The second <e1>simulation</e1> was started from the uncomplexed x-ray <e2>structure</e2> after insertion of the ligand into the binding site.,The second simulation was started from the uncomplexed x-ray structure after insertion of the ligand into the binding site.,simulation,structure,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
94,This <e1>user</e1> plays games on a portable <e2>console</e2>.,This user plays games on a portable console.,user,console,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
95,The ambitious Eurasia <e1>exhibition</e1> arose from an <e2>idea</e2> by Achille Bonito Oliva.,The ambitious Eurasia exhibition arose from an idea by Achille Bonito Oliva.,exhibition,idea,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
96,The <e1>driver</e1> of the cement truck cleaned the loading chute on his truck with a truck-mounted water <e2>hose</e2> and began to pull away.,The driver of the cement truck cleaned the loading chute on his truck with a truck-mounted water hose and began to pull away.,driver,hose,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
97,The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the <e1>recession</e1> triggered by the 1929 Wall Street <e2>crash</e2>.,The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the recession triggered by the 1929 Wall Street crash.,recession,crash,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
98,In the corner there are several gate captains and a <e1>legion</e1> of Wu <e2>crossbowmen</e2>.,In the corner there are several gate captains and a legion of Wu crossbowmen.,legion,crossbowmen,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
99,"Once they grow there, the <e1>swelling</e1> and inflammation caused by the <e2>infection</e2> closes off the sac, causing it not to ""shed"" bacteria, and protecting the bacteria inside from antibiotics and your body's own immune cells.","Once they grow there, the swelling and inflammation caused by the infection closes off the sac, causing it not to ""shed"" bacteria, and protecting the bacteria inside from antibiotics and your body's own immune cells.",swelling,infection,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
100,"Guitars are played acoustically; the <e1>tone</e1> is produced by the <e2>vibration</e2> of the strings which is amplified by the body of the guitar, which acts as a large hollow resonating chamber, or they may rely on an amplifier that can electronically manipulate tone.","Guitars are played acoustically; the tone is produced by the vibration of the strings which is amplified by the body of the guitar, which acts as a large hollow resonating chamber, or they may rely on an amplifier that can electronically manipulate tone.",tone,vibration,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
101,"Flowers are reborn from the soil and the climate begins to warm, all set to a <e1>score</e1> improvised by an <e2>orchestra</e2> of birds.","Flowers are reborn from the soil and the climate begins to warm, all set to a score improvised by an orchestra of birds.",score,orchestra,Other,Other,none,score is not a product
102,He posted the <e1>answers</e1> to the <e2>website</e2>.,He posted the answers to the website.,answers,website,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
103,"Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank, though the <e1>threat</e1> caused by the <e2>spell</e2> is minimal.","Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank, though the threat caused by the spell is minimal.",threat,spell,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
104,A <e1>programmer</e1> uses a high level <e2>language</e2> to implement its algorithms.,A programmer uses a high level language to implement its algorithms.,programmer,language,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
105,"The beautiful hydrothermal features in the park (geysers, hot springs, mud pots, etc.), the uplift and subsidence, and many of the <e1>earthquakes</e1> are caused by the <e2>movements</e2> of hydrothermal and/or magmatic fluids.","The beautiful hydrothermal features in the park (geysers, hot springs, mud pots, etc.), the uplift and subsidence, and many of the earthquakes are caused by the movements of hydrothermal and/or magmatic fluids.",earthquakes,movements,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
106,"Flowers are nice, but don't last very long and the <e1>fruit</e1> in a fruit <e2>basket</e2> often goes bad.","Flowers are nice, but don't last very long and the fruit in a fruit basket often goes bad.",fruit,basket,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
107,He decided to pad the <e1>heel</e1> of <e2>shoes</e2> with a shock absorbing insole or heel pad.,He decided to pad the heel of shoes with a shock absorbing insole or heel pad.,heel,shoes,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
