id,text,text_with_markers,relation_label,relation_type,entity1_text,entity2_text,label_id,num_tokens
7677,Principals respond to a decrease in uncertainty with more aggressive strategies.,Principals respond to a [E1]decrease[/E1] in uncertainty with more aggressive [E2]strategies[/E2].,"Cause-Effect(e1,e2)",Cause-Effect,decrease,strategies,0,12
4072,"Convulsions that occur after DTaP are usually not caused directly by the vaccine, but by a fever, which in turn was triggered by the vaccine.","Convulsions that occur after DTaP are usually not caused directly by the [E2]vaccine[/E2], but by a [E1]fever[/E1], which in turn was triggered by the vaccine.","Cause-Effect(e2,e1)",Cause-Effect,fever,vaccine,1,28
2232,"He had a huge zoo of animals, savage beasts from the far parts of the world, but that wasn't enough for him.","He had a huge [E1]zoo[/E1] of [E2]animals[/E2], savage beasts from the far parts of the world, but that wasn't enough for him.","Member-Collection(e2,e1)",Member-Collection,zoo,animals,13,26
3892,Most of these films were tackling world issues or had a socio-political background.,Most of these [E1]films[/E1] were tackling [E2]world issues[/E2] or had a socio-political background.,"Message-Topic(e1,e2)",Message-Topic,films,world issues,14,16
5458,"A veritable ratpack of architects are turning up the style in Sin City, writes Thomas Lane - and they're not all playing it straight.","A veritable [E1]ratpack[/E1] of [E2]architects[/E2] are turning up the style in Sin City, writes Thomas Lane - and they're not all playing it straight.","Member-Collection(e2,e1)",Member-Collection,ratpack,architects,13,27
7059,A writer who lives in Salt Lake City has recently completed a memoir about her experiences as a Mormon missionary.,A [E1]writer[/E1] who lives in Salt Lake City has recently completed a [E2]memoir[/E2] about her experiences as a Mormon missionary.,"Product-Producer(e2,e1)",Product-Producer,writer,memoir,18,21
4731,I have put an empty line into an article.,I have put an empty [E1]line[/E1] into an [E2]article[/E2].,"Entity-Destination(e1,e2)",Entity-Destination,line,article,6,10
6831,"Sir John Mortimer, the barrister-cum-writer who created the Old Bailey's most famous fictional defender, has died at the age of 85.","Sir John Mortimer, the [E1]barrister-cum-writer[/E1] who created the Old Bailey's most famous fictional [E2]defender[/E2], has died at the age of 85.","Product-Producer(e2,e1)",Product-Producer,barrister-cum-writer,defender,18,29
111,"Then I swept up the dust, which looked like sawdust, and put it in a plastic container, which was in a cabinet under the granite counter top.","Then I swept up the dust, which looked like sawdust, and put it in a [E1]plastic container[/E1], which was in a [E2]cabinet[/E2] under the granite counter top.","Content-Container(e1,e2)",Content-Container,plastic container,cabinet,4,31
2904,Our next appointment is with the largest congregation of saltwater crocodiles in the world - the famous Mary River.,Our next appointment is with the largest [E1]congregation[/E1] of saltwater [E2]crocodiles[/E2] in the world - the famous Mary River.,"Member-Collection(e2,e1)",Member-Collection,congregation,crocodiles,13,20
4656,The prisoner was taken into preventive custody this morning.,The [E1]prisoner[/E1] was taken into preventive [E2]custody[/E2] this morning.,Other,Other,prisoner,custody,16,10
6012,I love the sweet and salty combo of the watermelon salads that have been all over the food world lately.,I love the sweet and salty [E1]combo[/E1] of the watermelon [E2]salads[/E2] that have been all over the food world lately.,Other,Other,combo,salads,16,21
1103,A happy resident feels part of their association.,A happy [E1]resident[/E1] feels part of their [E2]association[/E2].,"Member-Collection(e1,e2)",Member-Collection,resident,association,12,9
2104,"In addition, a brief biography establishing her credentials was included at the end of the report.","In addition, a brief [E1]biography[/E1] establishing her [E2]credentials[/E2] was included at the end of the report.","Cause-Effect(e1,e2)",Cause-Effect,biography,credentials,0,18
3365,"Concrete is made from cement, aggregates (gravel and crush- ed stones) and water.","[E1]Concrete[/E1] is made from [E2]cement[/E2], aggregates (gravel and crush- ed stones) and water.","Entity-Origin(e1,e2)",Entity-Origin,Concrete,cement,8,17
2958,"His painting of 1607 also shows a farmer with a shovel, accompanied by a woman holding a cross.","His painting of 1607 also shows a [E1]farmer[/E1] with a [E2]shovel[/E2], accompanied by a woman holding a cross.","Instrument-Agency(e2,e1)",Instrument-Agency,farmer,shovel,11,20
3,The author of a keygen uses a disassembler to look at the raw assembly code.,The [E1]author[/E1] of a keygen uses a [E2]disassembler[/E2] to look at the raw assembly code.,"Instrument-Agency(e2,e1)",Instrument-Agency,author,disassembler,11,16
2666,Most business that think they have teams really have a horde of heroes looking for plunder.,Most business that think they have teams really have a [E1]horde[/E1] of [E2]heroes[/E2] looking for plunder.,"Member-Collection(e2,e1)",Member-Collection,horde,heroes,13,17
6874,Plants obtain a significant reduction in water usage and costs by effectively using conductivity analysis.,[E1]Plants[/E1] obtain a significant reduction in water usage and costs by effectively using conductivity [E2]analysis[/E2].,"Instrument-Agency(e2,e1)",Instrument-Agency,Plants,analysis,11,16
2221,This recogniser works with a vocabulary of up to several hundred words.,This [E1]recogniser[/E1] works with a [E2]vocabulary[/E2] of up to several hundred words.,"Component-Whole(e2,e1)",Component-Whole,recogniser,vocabulary,3,13
7062,"In the poem, the author develops the metaphysical issues raised in A Riddle and Canto.","In the [E1]poem[/E1], the [E2]author[/E2] develops the metaphysical issues raised in A Riddle and Canto.","Product-Producer(e1,e2)",Product-Producer,poem,author,17,17
6905,The porter passed on the licence to the wife and the daughter.,The porter passed on the [E1]licence[/E1] to the [E2]wife[/E2] and the daughter.,"Entity-Destination(e1,e2)",Entity-Destination,licence,wife,6,13
7134,"In a preliminary investigation, Cheddar cheese was made with a lactococcal starter overproducing different peptidases.","In a preliminary investigation, Cheddar [E1]cheese[/E1] was made with a lactococcal [E2]starter[/E2] overproducing different peptidases.",Other,Other,cheese,starter,16,17
3907,The strange query was coming from a 28-year-old African-American Starbucks manager named Crystal Thompson.,The strange [E1]query[/E1] was coming from a 28-year-old African-American Starbucks [E2]manager[/E2] named Crystal Thompson.,"Product-Producer(e1,e2)",Product-Producer,query,manager,17,21
7028,Sigmoid colon diverticulitis is the most common cause of acute pain in the left lower abdomen in older adults.,Sigmoid colon [E1]diverticulitis[/E1] is the most common cause of acute [E2]pain[/E2] in the left lower abdomen in older adults.,"Cause-Effect(e1,e2)",Cause-Effect,diverticulitis,pain,0,20
3038,It was a total canaille of letters pencils and papers and things that had been placed once on my table and to be removed and tucked away elsewhere the next day.,It was a total [E1]canaille[/E1] of [E2]letters[/E2] pencils and papers and things that had been placed once on my table and to be removed and tucked away elsewhere the next day.,"Member-Collection(e2,e1)",Member-Collection,canaille,letters,13,32
1240,A single silver coin collected from a Salvation Army red kettle near Berlin wasn't just another drop in the bucket.,A single silver [E1]coin[/E1] collected from a Salvation Army red [E2]kettle[/E2] near Berlin wasn't just another drop in the bucket.,"Entity-Origin(e1,e2)",Entity-Origin,coin,kettle,8,22
6334,The developmental bureaucracy has come into being.,The developmental [E1]bureaucracy[/E1] has come into [E2]being[/E2].,Other,Other,bureaucracy,being,16,8
5367,"They found that after the protein was manufactured in the nucleus, it traveled outward through the cell's many branching dendrites and eventually settled in.","They found that after the [E1]protein[/E1] was manufactured in the [E2]nucleus[/E2], it traveled outward through the cell's many branching dendrites and eventually settled in.","Entity-Origin(e1,e2)",Entity-Origin,protein,nucleus,8,27
5530,The dancing duo caused a stir on the 2008 series of the show with their infusion of classic Michael Jackson songs and dance moves mixed with bangra.,The dancing [E1]duo[/E1] caused a [E2]stir[/E2] on the 2008 series of the show with their infusion of classic Michael Jackson songs and dance moves mixed with bangra.,"Cause-Effect(e1,e2)",Cause-Effect,duo,stir,0,28
6674,The finished products ordered by the customer are manufactured using the raw materials purchased from suppliers.,The finished [E1]products[/E1] ordered by the customer are manufactured using the raw [E2]materials[/E2] purchased from suppliers.,"Entity-Origin(e1,e2)",Entity-Origin,products,materials,8,17
2917,The movable mold carrier has arrived into the store.,The movable [E1]mold carrier[/E1] has arrived into the [E2]store[/E2].,"Entity-Destination(e1,e2)",Entity-Destination,mold carrier,store,6,10
7132,"The concrete sidewalk radiated heat like a furnace, and there was no relief in the shade of a large crepe myrtle tree as they walked under it.","The concrete [E1]sidewalk[/E1] radiated [E2]heat[/E2] like a furnace, and there was no relief in the shade of a large crepe myrtle tree as they walked under it.","Cause-Effect(e1,e2)",Cause-Effect,sidewalk,heat,0,29
3653,He drags and drops the file icon into a folder.,He drags and drops the [E1]file icon[/E1] into a [E2]folder[/E2].,"Entity-Destination(e1,e2)",Entity-Destination,file icon,folder,6,11
6292,The letter was contained in a stamped envelope of the type sold in the South Dakota state penitentiary commissary.,The [E1]letter[/E1] was contained in a stamped [E2]envelope[/E2] of the type sold in the South Dakota state penitentiary commissary.,"Content-Container(e1,e2)",Content-Container,letter,envelope,4,20
2014,The pepper is added to the salad before serving.,The [E1]pepper[/E1] is added to the [E2]salad[/E2] before serving.,"Entity-Destination(e1,e2)",Entity-Destination,pepper,salad,6,10
6459,Only a minority of Armenian physicians felt well prepared to counsel patients to quit smoking.,Only a [E1]minority[/E1] of Armenian [E2]physicians[/E2] felt well prepared to counsel patients to quit smoking.,Other,Other,minority,physicians,16,16
3064,The suspect threw a firebomb into the church lot.,The suspect threw a [E1]firebomb[/E1] into the church [E2]lot[/E2].,"Entity-Destination(e1,e2)",Entity-Destination,firebomb,lot,6,10
5377,The excerpt was speaking about the average processing times of Social Security Disability decisions by these aforementioned offices.,The [E1]excerpt[/E1] was speaking about the average processing [E2]times[/E2] of Social Security Disability decisions by these aforementioned offices.,"Message-Topic(e1,e2)",Message-Topic,excerpt,times,14,19
4440,Pear and Ginger Marmalade was made from a glut of corella pears.,Pear and Ginger Marmalade was made from a [E1]glut[/E1] of corella [E2]pears[/E2].,Other,Other,glut,pears,16,13
1756,Ten-year-old Huynh Thanh Tung was fortunate to survive when the tiny war relic burst into a ball of flames and flying metal as he stuffed the bomb into a bottle.,Ten-year-old Huynh Thanh Tung was fortunate to survive when the tiny war relic burst into a ball of flames and flying metal as he stuffed the [E1]bomb[/E1] into a [E2]bottle[/E2].,"Entity-Destination(e1,e2)",Entity-Destination,bomb,bottle,6,35
3031,"The evidence was in a box in his patrol car, and started walking back toward it.","The [E1]evidence[/E1] was in a [E2]box[/E2] in his patrol car, and started walking back toward it.","Content-Container(e1,e2)",Content-Container,evidence,box,4,18
5005,The aircraft is moved into the hangar.,The [E1]aircraft[/E1] is moved into the [E2]hangar[/E2].,"Entity-Destination(e1,e2)",Entity-Destination,aircraft,hangar,6,8
3741,"Yet in Judd's stack of galvanized-iron boxes, all of the units are identical; they are set on the wall and separated, so that none is subordinated to another's weight (and also so that the space around them plays a role in the work equivalent to theirs); and their regular climb -- each of the twelve boxes is nine inches high, and they rest nine inches apart -- suggests an infinitely extensible series, denying the possibility of a crowning summit.","Yet in Judd's [E1]stack[/E1] of galvanized-iron [E2]boxes[/E2], all of the units are identical; they are set on the wall and separated, so that none is subordinated to another's weight (and also so that the space around them plays a role in the work equivalent to theirs); and their regular climb -- each of the twelve boxes is nine inches high, and they rest nine inches apart -- suggests an infinitely extensible series, denying the possibility of a crowning summit.","Member-Collection(e2,e1)",Member-Collection,stack,boxes,13,92
184,Frequent agitations throw academic life into disarray.,Frequent agitations throw academic [E1]life[/E1] into [E2]disarray[/E2].,Other,Other,life,disarray,16,8
4849,"Shortly after takeoff, an apparent systems malfunction has caused the inadvertent launch of an AIM-9 Sidewinder missile.","Shortly after takeoff, an apparent systems [E1]malfunction[/E1] has caused the inadvertent [E2]launch[/E2] of an AIM-9 Sidewinder missile.","Cause-Effect(e1,e2)",Cause-Effect,malfunction,launch,0,19
6601,Thousands of women suffer headaches from caffeine withdrawal as a result of this study.,Thousands of women suffer [E1]headaches[/E1] from [E2]caffeine withdrawal[/E2] as a result of this study.,"Cause-Effect(e2,e1)",Cause-Effect,headaches,caffeine withdrawal,1,15
4682,U.S. embassy participated in opening of the unique exhibition about general Pika.,U.S. [E1]embassy[/E1] participated in [E2]opening[/E2] of the unique exhibition about general Pika.,Other,Other,embassy,opening,16,13
6478,Integrated production schemes are spreading into various crops and may have relevance for sectors such as dairy production.,Integrated [E1]production schemes[/E1] are spreading into various [E2]crops[/E2] and may have relevance for sectors such as dairy production.,Other,Other,production schemes,crops,16,19
843,"The young man watched the snow through the window, and he wanted to stay in that cafe forever.","The young [E1]man[/E1] watched the snow through the [E2]window[/E2], and he wanted to stay in that cafe forever.","Instrument-Agency(e2,e1)",Instrument-Agency,man,window,11,20
4070,The economic collapse was caused by consumers buying mortgages they couldn't afford and the housing collapse.,The economic [E1]collapse[/E1] was caused by [E2]consumers[/E2] buying mortgages they couldn't afford and the housing collapse.,"Cause-Effect(e2,e1)",Cause-Effect,collapse,consumers,1,18
5401,The prisoner has departed into captivity.,The [E1]prisoner[/E1] has departed into [E2]captivity[/E2].,Other,Other,prisoner,captivity,16,7
4223,The mouse is a traditional ball mouse with 3 buttons and a scroll wheel.,The [E1]mouse[/E1] is a traditional ball mouse with 3 buttons and a [E2]scroll wheel[/E2].,"Component-Whole(e2,e1)",Component-Whole,mouse,scroll wheel,3,15
2799,The committee is approaching the final decision.,The [E1]committee[/E1] is approaching the final [E2]decision[/E2].,Other,Other,committee,decision,16,8
1557,"California law consists of 29 codes, covering various subject areas, the State Constitution and Statutes.","California [E1]law[/E1] consists of 29 [E2]codes[/E2], covering various subject areas, the State Constitution and Statutes.","Component-Whole(e2,e1)",Component-Whole,law,codes,3,18
7851,This teaches that the body is procreated by the parents and the soul and spirit are directly created by God and placed in the body.,This teaches that the [E1]body[/E1] is procreated by the [E2]parents[/E2] and the soul and spirit are directly created by God and placed in the body.,"Product-Producer(e1,e2)",Product-Producer,body,parents,17,26
6009,This sweet satisfaction was only troubled by the sorrow caused by the horrible attack on the person of a representative of the nation.,This sweet satisfaction was only troubled by the [E1]sorrow[/E1] caused by the horrible [E2]attack[/E2] on the person of a representative of the nation.,"Cause-Effect(e2,e1)",Cause-Effect,sorrow,attack,1,24
4818,Knee injuries from running are treated and prevented by following tips and performing stretches from Runner's World.com.,Knee [E1]injuries[/E1] from [E2]running[/E2] are treated and prevented by following tips and performing stretches from Runner's World.com.,"Cause-Effect(e2,e1)",Cause-Effect,injuries,running,1,19
6078,"The flu shot was given to young children, pregnant women, and elders first.","The [E1]flu shot[/E1] was given to young [E2]children[/E2], pregnant women, and elders first.","Entity-Destination(e1,e2)",Entity-Destination,flu shot,children,6,16
3244,These city dwellers have sunk into abominations.,These [E1]city dwellers[/E1] have sunk into [E2]abominations[/E2].,Other,Other,city dwellers,abominations,16,8
5974,"Aboriginal people have repeatedly been popularly described through coarse, even racist caricatures.","Aboriginal [E1]people[/E1] have repeatedly been popularly described through coarse, even racist [E2]caricatures[/E2].","Message-Topic(e2,e1)",Message-Topic,people,caricatures,15,14
7880,When you're an immigrant or refugee from any country then you have an experience with a botched translated name.,When you're an immigrant or [E1]refugee[/E1] from any [E2]country[/E2] then you have an experience with a botched translated name.,"Entity-Origin(e1,e2)",Entity-Origin,refugee,country,8,21
1165,Many publishing houses delayed some of their hottest books to the first of the New Year to remove them from a scrum of titles from big-name authors that were released last fall.,Many publishing houses delayed some of their hottest books to the first of the New Year to remove them from a scrum of [E1]titles[/E1] from big-name [E2]authors[/E2] that were released last fall.,"Product-Producer(e1,e2)",Product-Producer,titles,authors,17,35
1779,Tom's prominient selection of various rye spirits wins him kudos today.,Tom's prominient selection of various [E1]rye[/E1] [E2]spirits[/E2] wins him kudos today.,"Entity-Origin(e2,e1)",Entity-Origin,rye,spirits,9,13
1848,The Nepalese government sets up a committee to inquire into the alleged misuse of diplomatic passports.,The Nepalese government sets up a [E1]committee[/E1] to inquire into the alleged [E2]misuse[/E2] of diplomatic passports.,Other,Other,committee,misuse,16,17
1995,This is wishful thinking by a scribe who is more blind to the reality than those he accuses of blindness.,This is wishful [E1]thinking[/E1] by a [E2]scribe[/E2] who is more blind to the reality than those he accuses of blindness.,Other,Other,thinking,scribe,16,21
2260,The court sent the drug addict into hibernation.,The court sent the [E1]drug addict[/E1] into [E2]hibernation[/E2].,Other,Other,drug addict,hibernation,16,9
3124,The advertising campaign for the film also emphasized the supposed historical accuracy.,The [E1]advertising campaign[/E1] for the [E2]film[/E2] also emphasized the supposed historical accuracy.,"Message-Topic(e1,e2)",Message-Topic,advertising campaign,film,14,13
2423,Nurses' militancy stemmed from two different kinds of experiences.,Nurses' [E1]militancy[/E1] stemmed from two different kinds of [E2]experiences[/E2].,"Cause-Effect(e2,e1)",Cause-Effect,militancy,experiences,1,11
7069,"The plot evokes old-school space opera with its whirlwind pace, immense scope and twist ending, but cutting-edge extrapolation breathes vivid life into this universe of scoundrels, heroes and romantics.","The plot evokes old-school space opera with its whirlwind pace, immense scope and twist ending, but cutting-edge extrapolation breathes vivid life into this [E1]universe[/E1] of [E2]scoundrels[/E2], heroes and romantics.","Member-Collection(e2,e1)",Member-Collection,universe,scoundrels,13,37
5514,"The tsunami was generated by an undersea landslide, which was triggered by the earthquake.","The tsunami was generated by an undersea [E1]landslide[/E1], which was triggered by the [E2]earthquake[/E2].","Cause-Effect(e2,e1)",Cause-Effect,landslide,earthquake,1,16
717,"Throughout his writing career, all of his novels have concerned fictional secret agents.","Throughout his writing career, all of his [E1]novels[/E1] have concerned fictional secret [E2]agents[/E2].","Message-Topic(e1,e2)",Message-Topic,novels,agents,14,15
4858,To help doctors to know and cure headaches from medication overuse a revised criteria was published by the International Headache Society.,To help doctors to know and cure [E1]headaches[/E1] from [E2]medication overuse[/E2] a revised criteria was published by the International Headache Society.,"Cause-Effect(e2,e1)",Cause-Effect,headaches,medication overuse,1,22
2912,Traditional homemade yellow rice wine is more than a home brew.,Traditional homemade yellow [E1]rice[/E1] [E2]wine[/E2] is more than a home brew.,"Entity-Origin(e2,e1)",Entity-Origin,rice,wine,9,12
3143,"The themes of sex, death and growing older are explored in new works by poet Mark Doty.","The themes of [E1]sex[/E1], death and growing older are explored in new [E2]works[/E2] by poet Mark Doty.","Message-Topic(e2,e1)",Message-Topic,sex,works,15,19
7298,She opened a fridge in the side of the door and got out a blueberry vodka.,She opened a fridge in the side of the door and got out a [E1]blueberry[/E1] [E2]vodka[/E2].,Other,Other,blueberry,vodka,16,17
166,The tardiness however has been caused by the arrival of my old man; who in true Bloodworth fashion has had me walking everywhere.,The [E1]tardiness[/E1] however has been caused by the [E2]arrival[/E2] of my old man; who in true Bloodworth fashion has had me walking everywhere.,"Cause-Effect(e2,e1)",Cause-Effect,tardiness,arrival,1,25
5871,The microprocessor cluster has been migrated into high-end embedded applications.,The [E1]microprocessor cluster[/E1] has been migrated into high-end embedded [E2]applications[/E2].,Other,Other,microprocessor cluster,applications,16,13
454,"When it was ready, my coffee arrived in a mug instead of to go as I had ordered it.","When it was ready, my [E1]coffee[/E1] arrived in a [E2]mug[/E2] instead of to go as I had ordered it.","Content-Container(e1,e2)",Content-Container,coffee,mug,4,21
3302,"The original santur was made with tree bark, stones and stringed with goat intestines.","The original [E1]santur[/E1] was made with tree [E2]bark[/E2], stones and stringed with goat intestines.",Other,Other,santur,bark,16,16
4384,The fable narrates a difference between prehistory and history that is beyond the comprehension of those on either side of the divide.,The [E1]fable[/E1] narrates a [E2]difference[/E2] between prehistory and history that is beyond the comprehension of those on either side of the divide.,"Message-Topic(e1,e2)",Message-Topic,fable,difference,14,23
