relation	pattern_type	precision	support	priority	pattern_data
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('be', 'successfully'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('poverty', 'lead'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010001	(('treat', 'the'),)
Product-Producer(e1,e2)	BIGRAM	1.000	2	4010001	(('the', 'fertile'),)
Other	BIGRAM	1.000	2	4010001	(('denote', 'with'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010001	(('an', 'ancient'),)
Component-Whole(e2,e1)	BIGRAM	1.000	2	4010001	(('a', 'maximum'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010001	(('production', 'of'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	3	4010001	(('headache', 'and'),)
Other	BIGRAM	1.000	2	4010001	(('recover', 'from'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('portion', 'of'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('be', 'insert'),)
Member-Collection(e2,e1)	BIGRAM	1.000	2	4010001	(('of', 'muslim'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('dish', 'use'),)
Other	BIGRAM	1.000	3	4010001	(('have', 'depart'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	3	4010001	('detail', 'nsubj', 'dobj')
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('an', 'introduction'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010001	(('draft', 'the'),)
Component-Whole(e1,e2)	BIGRAM	1.000	2	4010001	(('later', 'in'),)
Product-Producer(e2,e1)	BIGRAM	1.000	2	4010001	(('that', 'produce'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010001	(('tear', 'the'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	12	4010001	(('release', 'into'),)
Other	BIGRAM	1.000	4	4010001	(('cultivate', 'the'),)
Other	BIGRAM	1.000	3	4010001	(('attach', 'to'),)
Message-Topic(e2,e1)	BIGRAM	1.000	2	4010001	(('consider', 'in'),)
Component-Whole(e2,e1)	BIGRAM	1.000	2	4010001	(('be', 'fit'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010001	(('be', 'summarise'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('cause', 'unconsciousness'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('use', 'farm'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('then', 'place'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('into', 'develop'),)
Component-Whole(e2,e1)	BIGRAM	1.000	8	4010001	(('comprise', 'a'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010001	(('from', 'my'),)
Product-Producer(e2,e1)	BIGRAM	1.000	4	4010001	(('build', 'the'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('entirely', 'to'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	2	4010001	('study', 'nsubj', 'dobj')
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('mark', 'their'),)
Member-Collection(e2,e1)	BIGRAM	1.000	2	4010001	(('of', 'twelve'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('to', 'my'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('then', 'be'),)
Product-Producer(e2,e1)	BIGRAM	1.000	2	4010001	(('have', 'dig'),)
Other	DEP_VERB	1.000	4	4010001	('cultivate', 'nsubj', 'dobj')
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('the', 'political'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	3	4010001	('declare', 'nsubj', 'dobj')
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('dimension', 'by'),)
Product-Producer(e2,e1)	BIGRAM	1.000	2	4010001	(('an', 'elaborate'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('leak', 'into'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	4	4010001	('show', 'nsubj', 'dobj')
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('arrive', 'at'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('devoted', 'to'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('explore', 'the'),)
Component-Whole(e1,e2)	BIGRAM	1.000	3	4010001	(('basic', 'element'),)
Member-Collection(e2,e1)	BIGRAM	1.000	3	4010001	(('of', 'senior'),)
Member-Collection(e2,e1)	BIGRAM	1.000	2	4010001	(('of', 'mount'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	5	4010001	(('the', 'victim'),)
Other	DEP_VERB	1.000	2	4010001	('require', 'nsubj', 'dobj')
Cause-Effect(e2,e1)	BIGRAM	1.000	3	4010001	(('by', 'infection'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	4	4010001	(('from', 'past'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('look', 'at'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('define', 'the'),)
Other	BIGRAM	1.000	2	4010001	(('plant', 'a'),)
Member-Collection(e2,e1)	BIGRAM	1.000	2	4010001	(('of', 'slum'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('respiratory', 'tract'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('pull', 'the'),)
Member-Collection(e1,e2)	BIGRAM	1.000	2	4010001	(('gather', 'in'),)
Member-Collection(e2,e1)	BIGRAM	1.000	2	4010001	(('of', 'baby'),)
Other	BIGRAM	1.000	2	4010001	(('assist', 'by'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010001	(('less', 'than'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('cold', 'or'),)
Other	BIGRAM	1.000	3	4010001	(('associate', 'with'),)
Other	BIGRAM	1.000	2	4010001	(('to', 'report'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	4	4010001	(('be', 'donate'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('delay', 'and'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	5	4010001	(('wield', 'the'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	2	4010001	(('century', 'be'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010001	(('complete', 'the'),)
Message-Topic(e2,e1)	BIGRAM	1.000	2	4010001	(('as', 'define'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('a', 'historical'),)
Component-Whole(e2,e1)	BIGRAM	1.000	2	4010001	(('bring', 'together'),)
Instrument-Agency(e1,e2)	BIGRAM	1.000	14	4010001	(('use', 'by'),)
Product-Producer(e2,e1)	BIGRAM	1.000	5	4010001	(('have', 'complete'),)
Message-Topic(e1,e2)	BIGRAM	1.000	4	4010001	(('depict', 'the'),)
Other	BIGRAM	1.000	2	4010001	(('pertinent', 'to'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	7	4010001	(('import', 'into'),)
Message-Topic(e2,e1)	BIGRAM	1.000	2	4010001	(('explore', 'in'),)
Product-Producer(e1,e2)	BIGRAM	1.000	2	4010001	(('the', 'well'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('criticize', 'the'),)
Other	DEP_VERB	1.000	3	4010001	('plant', 'nsubj', 'dobj')
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('attach', 'the'),)
Other	BIGRAM	1.000	2	4010001	(('vessel', 'be'),)
Member-Collection(e2,e1)	BIGRAM	1.000	2	4010001	(('of', 'senegalese'),)
Other	BIGRAM	1.000	2	4010001	(('temple', 'by'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('cause', 'smog'),)
Product-Producer(e1,e2)	BIGRAM	1.000	2	4010001	(('sew', 'by'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('employ', 'a'),)
Message-Topic(e2,e1)	BIGRAM	1.000	2	4010001	(('receive', 'positive'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	2	4010001	('highlight', 'nsubj', 'dobj')
Message-Topic(e1,e2)	BIGRAM	1.000	4	4010001	(('to', 'discuss'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('promote', 'the'),)
Member-Collection(e2,e1)	BIGRAM	1.000	2	4010001	(('of', 'hungry'),)
Message-Topic(e2,e1)	BIGRAM	1.000	2	4010001	(('define', 'in'),)
Message-Topic(e1,e2)	BIGRAM	1.000	4	4010001	(('center', 'around'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010001	(('be', 'evolve'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('be', 'that'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('tell', 'of'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('also', 'cause'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('chemical', 'that'),)
Other	BIGRAM	1.000	3	4010001	(('extend', 'from'),)
Member-Collection(e1,e2)	DEP_VERB	1.000	3	4010001	('join', 'nsubj', 'dobj')
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('the', 'six'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('that', 'comment'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	2	4010001	(('be', 'elude'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('exclusively', 'to'),)
Content-Container(e1,e2)	BIGRAM	1.000	14	4010001	(('hide', 'in'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('conflict', 'cause'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	2	4010001	(('the', 'brain'),)
Message-Topic(e2,e1)	BIGRAM	1.000	2	4010001	(('advertise', 'by'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('swirl', 'around'),)
Content-Container(e2,e1)	BIGRAM	1.000	2	4010001	(('contain', 'an'),)
Other	BIGRAM	1.000	2	4010001	(('a', 'valuable'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	10	4010001	(('into', 'this'),)
Other	BIGRAM	1.000	2	4010001	(('valuable', 'contribution'),)
Product-Producer(e1,e2)	BIGRAM	1.000	2	4010001	(('house', 'by'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	3	4010001	(('emit', 'a'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010001	(('have', 'draw'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('be', 'instal'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('review', 'of'),)
Component-Whole(e2,e1)	BIGRAM	1.000	2	4010001	(('spring', 'load'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('devote', 'exclusively'),)
Message-Topic(e2,e1)	BIGRAM	1.000	4	4010001	(('summarise', 'in'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('dryness', 'rash'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	6	4010001	('describe', 'nsubj', 'dobj')
Member-Collection(e2,e1)	BIGRAM	1.000	2	4010001	(('of', 'twenty'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('spread', 'to'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010001	(('say', 'in'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010001	(('document', 'in'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('regard', 'the'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	4	4010001	(('which', 'cause'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('organise', 'around'),)
Other	BIGRAM	1.000	2	4010001	(('to', 'determine'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('the', 'point'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	4	4010001	(('to', 'another'),)
Other	BIGRAM	1.000	5	4010001	(('participant', 'in'),)
Product-Producer(e2,e1)	BIGRAM	1.000	2	4010001	(('a', 'human'),)
Component-Whole(e2,e1)	BIGRAM	1.000	4	4010001	(('have', 'the'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	6	4010001	('explore', 'nsubj', 'dobj')
Other	BIGRAM	1.000	2	4010001	(('only', 'the'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('deface', 'the'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('into', 'people'),)
Instrument-Agency(e2,e1)	DEP_VERB	1.000	2	4010001	('wear', 'nsubj', 'dobj')
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('trigger', 'the'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010001	(('discuss', 'in'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('into', 'warm'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	5	4010001	(('escape', 'from'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('summary', 'of'),)
Other	BIGRAM	1.000	2	4010001	(('investigate', 'two'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('a', 'contralateral'),)
Other	BIGRAM	1.000	2	4010001	(('inspire', 'by'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	4	4010001	(('instigate', 'by'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('smog', 'acid'),)
Component-Whole(e2,e1)	BIGRAM	1.000	2	4010001	(('a', 'pair'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('outline', 'the'),)
Product-Producer(e2,e1)	BIGRAM	1.000	2	4010001	(('game', 'into'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('postpone', 'to'),)
Message-Topic(e1,e2)	DEP_VERB	1.000	2	4010001	('promote', 'nsubj', 'dobj')
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('insert', 'into'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('cup', 'of'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010001	(('be', 'analyse'),)
Instrument-Agency(e1,e2)	BIGRAM	1.000	2	4010001	(('enable', 'the'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('fly', 'into'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	4	4010001	(('from', 'outer'),)
Product-Producer(e2,e1)	BIGRAM	1.000	2	4010001	(('know', 'for'),)
Other	BIGRAM	1.000	2	4010001	(('a', 'genetically'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	6	4010001	(('main', 'cause'),)
Product-Producer(e2,e1)	BIGRAM	1.000	5	4010001	(('issue', 'a'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	2	4010001	(('farm', 'fresh'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('the', 'common'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010001	(('access', 'the'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('cause', 'delay'),)
Other	BIGRAM	1.000	2	4010001	(('article', 'investigate'),)
Product-Producer(e2,e1)	BIGRAM	1.000	2	4010001	(('who', 'draft'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	2	4010001	(('from', 'any'),)
Member-Collection(e1,e2)	BIGRAM	1.000	2	4010001	(("'s", 'rule'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('show', 'a'),)
Member-Collection(e2,e1)	BIGRAM	1.000	2	4010001	(('of', 'garter'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010001	(('kill', 'she'),)
Content-Container(e1,e2)	BIGRAM	1.000	2	4010001	(('a', 'gift'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('advertise', 'the'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('pour', 'into'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('be', 'award'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('to', 'other'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	3	4010001	(('infection', 'with'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	4	4010001	(('over', 'to'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('a', 'summary'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('between', 'the'),)
Other	BIGRAM	1.000	2	4010001	(('cut', 'with'),)
Component-Whole(e2,e1)	BIGRAM	1.000	2	4010001	(('begin', 'with'),)
Component-Whole(e2,e1)	BIGRAM	1.000	2	4010001	(('on', 'its'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('customer', 'about'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	6	4010001	(('add', 'into'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010001	(('his', 'small'),)
Product-Producer(e2,e1)	BIGRAM	1.000	2	4010001	(('a', 'valid'),)
Other	BIGRAM	1.000	2	4010001	(('send', 'by'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('upper', 'respiratory'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	2	4010001	(('into', 'some'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('that', 'lead'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	2	4010001	(('the', 'hepatitis'),)
Message-Topic(e2,e1)	BIGRAM	1.000	2	4010001	(('topic', 'for'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010001	(('analyse', 'in'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	2	4010001	(('he', 'get'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	3	4010001	(('cause', 'heart'),)
Component-Whole(e2,e1)	BIGRAM	1.000	2	4010001	(('contain', 'various'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('abuse', 'and'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('for', 'increase'),)
Product-Producer(e1,e2)	BIGRAM	1.000	3	4010001	(('be', 'create'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('be', 'base'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	4	4010001	(('directly', 'into'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('unconsciousness', 'and'),)
Message-Topic(e1,e2)	BIGRAM	1.000	2	4010001	(('detailed', 'and'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('gyrus', 'cause'),)
Other	BIGRAM	1.000	2	4010001	(('be', 'inspire'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('to', 'several'),)
Other	BIGRAM	1.000	2	4010001	(('denote', 'the'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('into', 'several'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	5	4010001	(('be', 'misplace'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	2	4010001	(('turn', 'into'),)
