relation	pattern_type	precision	support	priority	pattern_data
Component-Whole(e2,e1)	BIGRAM	1.000	4	4010001	(('have', 'the'),)
Other	BIGRAM	1.000	4	4010000	(('a', 'participant'),)
Message-Topic(e2,e1)	BIGRAM	1.000	4	4010001	(('be', 'document'),)
Product-Producer(e2,e1)	BIGRAM	1.000	4	4010001	(('build', 'a'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	4	4010000	(('produce', 'from'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	4	4010001	(('over', 'to'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	4	4010000	(('move', 'from'),)
Message-Topic(e1,e2)	BIGRAM	1.000	4	4010001	(('comment', 'on'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	4	4010000	(('she', 'with'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	4	4010001	(('from', 'outer'),)
Message-Topic(e2,e1)	BIGRAM	1.000	4	4010001	(('summarise', 'in'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	4	4010001	(('award', 'to'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	4	4010001	(('which', 'cause'),)
Message-Topic(e1,e2)	BIGRAM	1.000	4	4010001	(('to', 'discuss'),)
Other	BIGRAM	1.000	4	4010001	(('into', 'deep'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	4	4010001	(('from', 'past'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	4	4010000	(('abscond', 'from'),)
Product-Producer(e1,e2)	BIGRAM	1.000	4	4010000	(('the', 'pen'),)
Product-Producer(e1,e2)	BIGRAM	1.000	4	4010000	(('pen', 'of'),)
Message-Topic(e1,e2)	BIGRAM	1.000	4	4010000	(('chart', 'the'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	4	4010001	(('instigate', 'by'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	4	4010001	(('to', 'another'),)
Other	BIGRAM	1.000	4	4010000	(('at', 'an'),)
Other	BIGRAM	1.000	4	4010001	(('cultivate', 'the'),)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	4	2010000	('export',)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	4	2010000	('deliver',)
Message-Topic(e2,e1)	DEP_VERB	1.000	4	4010000	('receive', 'nsubj', 'dobj')
Message-Topic(e1,e2)	DEP_VERB	1.000	4	4010001	('show', 'nsubj', 'dobj')
Other	DEP_VERB	1.000	4	4010001	('cultivate', 'nsubj', 'dobj')
Message-Topic(e1,e2)	LEMMA	1.000	3	2010000	('remind',)
Message-Topic(e1,e2)	LEMMA	1.000	3	2010000	('relative',)
Cause-Effect(e1,e2)	LEMMA	1.000	3	2010001	('ding',)
Entity-Origin(e1,e2)	LEMMA	1.000	3	2010001	('evolve',)
Instrument-Agency(e2,e1)	LEMMA	1.000	3	2010000	('stir',)
Component-Whole(e1,e2)	LEMMA	1.000	3	2010000	('later',)
Component-Whole(e2,e1)	LEMMA	1.000	3	2010001	('vastus',)
Other	LEMMA	1.000	3	2010001	('temple',)
Other	LEMMA	1.000	3	2010001	('vessel',)
Cause-Effect(e1,e2)	LEMMA	1.000	3	2010000	('dryness',)
Entity-Destination(e1,e2)	LEMMA	1.000	3	2010001	('postpone',)
Entity-Origin(e1,e2)	LEMMA	1.000	3	2010000	('elude',)
Entity-Origin(e1,e2)	LEMMA	1.000	3	2010001	('ferment',)
Message-Topic(e1,e2)	LEMMA	1.000	3	2010000	('summary',)
Other	LEMMA	1.000	3	2010001	('prove',)
Product-Producer(e1,e2)	LEMMA	1.000	3	2010001	('imagination',)
Message-Topic(e1,e2)	LEMMA	1.000	3	2010001	('assert',)
Message-Topic(e1,e2)	LEMMA	1.000	3	2010001	('introduction',)
Member-Collection(e2,e1)	LEMMA	1.000	3	2010001	('baby',)
Cause-Effect(e1,e2)	LEMMA	1.000	3	2010001	('illness',)
Cause-Effect(e1,e2)	LEMMA	1.000	3	2010000	('headache',)
Instrument-Agency(e2,e1)	LEMMA	1.000	3	2010000	('threaten',)
Other	LEMMA	1.000	3	2010001	('user',)
Message-Topic(e1,e2)	LEMMA	1.000	3	2010001	('class',)
Message-Topic(e1,e2)	LEMMA	1.000	3	2010000	('compare',)
Component-Whole(e2,e1)	LEMMA	1.000	3	2010001	('front',)
Cause-Effect(e1,e2)	LEMMA	1.000	3	2010000	('medial',)
Cause-Effect(e1,e2)	LEMMA	1.000	3	2010000	('severe',)
Cause-Effect(e2,e1)	LEMMA	1.000	3	2010001	('bacterial',)
Product-Producer(e1,e2)	LEMMA	1.000	3	2010000	('italian',)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010000	(('give', 'detail'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010001	(('leave', 'her'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010000	(('her', 'native'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010000	(('clean', 'the'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010001	(('be', 'evolve'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010000	(('evolve', 'from'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010000	(('relate', 'the'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010000	(('stir', 'the'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010000	(('illustrate', 'the'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010001	(('be', 'analyse'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010001	(('analyse', 'in'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010001	(('less', 'than'),)
Component-Whole(e2,e1)	BIGRAM	1.000	3	4010000	(('regulate', 'the'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010000	(('just', 'complete'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010000	(('prepare', 'on'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010001	(('access', 'the'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010000	(('they', 'with'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	3	4010001	(('cause', 'heart'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	3	4010000	(('cause', 'dryness'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('into', 'several'),)
Other	BIGRAM	1.000	3	4010001	(('associate', 'with'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010001	(('treat', 'the'),)
Component-Whole(e1,e2)	BIGRAM	1.000	3	4010001	(('basic', 'element'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010000	(('to', 'present'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010001	(("'s", 'output'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010000	(('be', 'postpone'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('postpone', 'to'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010001	(('elude', 'from'),)
Product-Producer(e1,e2)	BIGRAM	1.000	3	4010000	(('having', 'be'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010000	(('who', 'do'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010000	(('from', 'ferment'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010001	(('from', 'my'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('a', 'summary'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('summary', 'of'),)
Product-Producer(e1,e2)	BIGRAM	1.000	3	4010001	(('imagination', 'of'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010001	(('tear', 'the'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('spread', 'to'),)
Other	BIGRAM	1.000	3	4010001	(('extend', 'from'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010001	(('say', 'in'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010000	(('into', 'her'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010000	(('declare', 'the'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('tell', 'of'),)
Product-Producer(e1,e2)	BIGRAM	1.000	3	4010001	(('be', 'create'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010001	(('an', 'ancient'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('that', 'comment'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010001	(('production', 'of'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010001	(('theme', 'of'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	3	4010001	(('by', 'infection'),)
Cause-Effect(e2,e1)	BIGRAM	1.000	3	4010001	(('infection', 'with'),)
Entity-Origin(e1,e2)	BIGRAM	1.000	3	4010001	(('his', 'small'),)
Content-Container(e1,e2)	BIGRAM	1.000	3	4010000	(('sit', 'in'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010000	(('a', 'description'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010000	(('detail', 'the'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010001	(('kill', 'she'),)
Other	BIGRAM	1.000	3	4010001	(('be', 'indicate'),)
Other	BIGRAM	1.000	3	4010001	(('indicate', 'with'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010001	(('complete', 'the'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010000	(('post', 'a'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('to', 'several'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('then', 'place'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('explore', 'the'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010001	(('be', 'summarise'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('into', 'its'),)
Other	BIGRAM	1.000	3	4010000	(('an', 'initial'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('be', 'award'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('an', 'introduction'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010001	(('document', 'in'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	3	4010000	(('cause', 'respiratory'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	3	4010000	(('cause', 'headache'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	3	4010001	(('headache', 'and'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010001	(('draft', 'the'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010000	(('who', 'write'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('insert', 'into'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010000	(('highlight', 'the'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('the', 'point'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('point', 'that'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010001	(('discuss', 'in'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010000	(('be', 'arrive'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010000	(('out', 'that'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010001	(('have', 'draw'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	3	4010000	(('stress', 'and'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010000	(('be', 'consider'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010000	(('be', 'depict'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010000	(('depict', 'in'),)
Product-Producer(e2,e1)	BIGRAM	1.000	3	4010001	(('manufacture', 'the'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010000	(('reveal', 'the'),)
Other	BIGRAM	1.000	3	4010001	(('have', 'depart'),)
Other	BIGRAM	1.000	3	4010000	(('depart', 'into'),)
Other	BIGRAM	1.000	3	4010001	(('attach', 'to'),)
Message-Topic(e2,e1)	BIGRAM	1.000	3	4010001	(('already', 'be'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010000	(('be', 'enter'),)
Message-Topic(e1,e2)	BIGRAM	1.000	3	4010001	(('show', 'a'),)
Product-Producer(e1,e2)	BIGRAM	1.000	3	4010000	(('cook', 'by'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	3	4010000	(('cause', 'stress'),)
Member-Collection(e2,e1)	BIGRAM	1.000	3	4010000	(('of', 'seven'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	3	4010000	(('the', 'medial'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	3	4010000	(('medial', 'part'),)
Member-Collection(e2,e1)	BIGRAM	1.000	3	4010001	(('of', 'senior'),)
Product-Producer(e1,e2)	BIGRAM	1.000	3	4010000	(('an', 'italian'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010000	(('be', 'pour'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010001	(('pour', 'into'),)
Instrument-Agency(e2,e1)	BIGRAM	1.000	3	4010001	(('choose', 'the'),)
Entity-Destination(e1,e2)	BIGRAM	1.000	3	4010000	(('have', 'fly'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	3	4010000	(('instigate', 'the'),)
Cause-Effect(e1,e2)	BIGRAM	1.000	3	4010001	(('emit', 'a'),)
Message-Topic(e1,e2)	BEFORE_E1	1.000	3	2010001	('comprehensive',)
Message-Topic(e1,e2)	BEFORE_E1	1.000	3	2010001	('monthly',)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	3	2010001	('place',)
Other	BEFORE_E1	1.000	3	2010000	('inherit',)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	3	2010001	('implant',)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	3	2010001	('japanese',)
Other	BEFORE_E1	1.000	3	2010001	('infamous',)
Entity-Destination(e1,e2)	BEFORE_E1	1.000	3	2010001	('dump',)
Message-Topic(e1,e2)	BEFORE_E1	1.000	3	2010000	('detailed',)
Content-Container(e1,e2)	BEFORE_E1	1.000	3	2010000	('keep',)
Component-Whole(e1,e2)	AFTER_E2	1.000	3	2010001	('open',)
Component-Whole(e1,e2)	AFTER_E2	1.000	3	2010000	('itself',)
Content-Container(e1,e2)	AFTER_E2	1.000	3	2010000	('label',)
Content-Container(e1,e2)	AFTER_E2	1.000	3	2010000	('full',)
Message-Topic(e1,e2)	DEP_VERB	1.000	3	4010000	('advertise', 'nsubj', 'dobj')
Message-Topic(e1,e2)	DEP_VERB	1.000	3	4010000	('define', 'nsubj', 'dobj')
Message-Topic(e1,e2)	DEP_VERB	1.000	3	4010001	('declare', 'nsubj', 'dobj')
Message-Topic(e1,e2)	DEP_VERB	1.000	3	4010000	('relate', 'nsubj', 'dobj')
Message-Topic(e1,e2)	DEP_VERB	1.000	3	4010001	('illustrate', 'nsubj', 'dobj')
Message-Topic(e1,e2)	DEP_VERB	1.000	3	4010001	('depict', 'nsubj', 'dobj')
Message-Topic(e1,e2)	DEP_VERB	1.000	3	4010000	('outline', 'nsubj', 'dobj')
Other	DEP_VERB	1.000	3	4010001	('denote', 'nsubj', 'dobj')
Message-Topic(e1,e2)	DEP_VERB	1.000	3	4010001	('detail', 'nsubj', 'dobj')
Other	DEP_VERB	1.000	3	4010001	('plant', 'nsubj', 'dobj')
Member-Collection(e1,e2)	DEP_VERB	1.000	3	4010001	('join', 'nsubj', 'dobj')
Message-Topic(e1,e2)	DEP_VERB	1.000	3	4010001	('point', 'nsubj', 'dobj')
Cause-Effect(e1,e2)	DEP_VERB	1.000	3	4010000	('radiate', 'nsubj', 'dobj')
Instrument-Agency(e2,e1)	LEMMA	1.000	2	2010001	('portable',)
Cause-Effect(e2,e1)	LEMMA	1.000	2	2010000	('inflammation',)
Instrument-Agency(e2,e1)	LEMMA	1.000	2	2010001	('calibrate',)
Cause-Effect(e2,e1)	LEMMA	1.000	2	2010001	('chernobyl',)
Message-Topic(e1,e2)	LEMMA	1.000	2	2010001	('exclusively',)
Component-Whole(e2,e1)	LEMMA	1.000	2	2010001	('quadricep',)
Component-Whole(e2,e1)	LEMMA	1.000	2	2010000	('femoris',)
Cause-Effect(e1,e2)	LEMMA	1.000	2	2010001	('delay',)
Member-Collection(e2,e1)	LEMMA	1.000	2	2010000	('king',)
Content-Container(e1,e2)	LEMMA	1.000	2	2010000	('plain',)
Other	LEMMA	1.000	2	2010000	('assembly',)
Instrument-Agency(e2,e1)	LEMMA	1.000	2	2010000	('colored',)
Cause-Effect(e1,e2)	LEMMA	1.000	2	2010000	('rash',)
Instrument-Agency(e2,e1)	LEMMA	1.000	2	2010000	('diagnostic',)
Entity-Destination(e1,e2)	LEMMA	1.000	2	2010001	('sterile',)
Member-Collection(e2,e1)	LEMMA	1.000	2	2010000	('scholar',)
Instrument-Agency(e2,e1)	LEMMA	1.000	2	2010001	('movement',)
Cause-Effect(e2,e1)	LEMMA	1.000	2	2010000	('sudden',)
Other	LEMMA	1.000	2	2010001	('intensive',)
Entity-Destination(e1,e2)	LEMMA	1.000	2	2010001	('transfer',)
Member-Collection(e2,e1)	LEMMA	1.000	2	2010000	('slum',)
Member-Collection(e2,e1)	LEMMA	1.000	2	2010001	('muslim',)
Instrument-Agency(e2,e1)	LEMMA	1.000	2	2010000	('dish',)
Product-Producer(e1,e2)	LEMMA	1.000	2	2010000	('fertile',)
Content-Container(e1,e2)	LEMMA	1.000	2	2010000	('insulate',)
Cause-Effect(e2,e1)	LEMMA	1.000	2	2010000	('pin',)
Member-Collection(e2,e1)	LEMMA	1.000	2	2010000	('fifteen',)
Other	LEMMA	1.000	2	2010001	('simply',)
Member-Collection(e1,e2)	LEMMA	1.000	2	2010000	('select',)
Instrument-Agency(e2,e1)	LEMMA	1.000	2	2010000	('lightly',)
Product-Producer(e2,e1)	LEMMA	1.000	2	2010001	('synthesize',)
Other	LEMMA	1.000	2	2010001	('wave',)
